"Year","Month","DayofMonth","DayOfWeek","DepTime","CRSDepTime","ArrTime","CRSArrTime","UniqueCarrier","FlightNum","TailNum","ActualElapsedTime","CRSElapsedTime","AirTime","ArrDelay","DepDelay","Origin","Dest","Distance","TaxiIn","TaxiOut","Cancelled","CancellationCode","Diverted","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","YearFiveFold","YearTenFold"
1987,10,1,4,1127,1120,1253,1250,"PS",1459,,86,90,,3,7,"SFO","PDX",550,,,0,,0,,,,,,3,0
1987,10,18,7,1830,1830,1934,1929,"PS",1460,,64,59,,5,0,"OAK","BUR",325,,,0,,0,,,,,,4,0
1987,10,23,5,2052,2000,2149,2059,"PS",1465,,57,59,,50,52,"BUR","OAK",325,,,0,,0,,,,,,1,0
1987,10,8,4,645,645,808,803,"PS",1468,,83,78,,5,0,"SFO","SAN",447,,,0,,0,,,,,,3,0
1987,10,25,7,1630,1630,1747,1736,"PS",1473,,77,66,,11,0,"LAX","SFO",337,,,0,,0,,,,,,0,0
1987,10,6,2,1452,1450,1604,1603,"PS",1481,,72,73,,1,2,"SNA","OAK",371,,,0,,0,,,,,,4,0
1987,10,9,5,815,815,928,928,"PS",1489,,73,73,,0,0,"SNA","OAK",371,,,0,,0,,,,,,0,0
1987,10,20,2,953,953,1109,1106,"PS",1490,,76,73,,3,0,"OAK","SNA",371,,,0,,0,,,,,,3,0
1987,10,24,6,952,953,1114,1106,"PS",1490,,82,73,,8,-1,"OAK","SNA",371,,,0,,0,,,,,,1,0
1987,10,7,3,1140,1129,1244,1225,"PS",1490,,64,56,,19,11,"SNA","LAS",226,,,0,,0,,,,,,1,0
1987,10,27,2,1712,1710,1831,1824,"PS",1491,,79,74,,7,2,"SNA","OAK",371,,,0,,0,,,,,,4,0
1987,10,28,3,1749,1746,1916,1905,"PS",1491,,87,79,,11,3,"SNA","OAK",371,,,0,,0,,,,,,1,0
1987,10,10,6,1332,1310,1450,1423,"PS",1494,,78,73,,27,22,"OAK","SNA",371,,,0,,0,,,,,,2,0
1987,10,11,7,1937,1925,2055,2038,"PS",1497,,78,73,,17,12,"SNA","OAK",371,,,0,,0,,,,,,4,0
1987,10,22,4,901,843,1148,1135,"PS",1504,,107,112,,13,18,"LAX","ABQ",677,,,0,,0,,,,,,3,0
1987,10,1,4,1405,1400,1513,1508,"PS",1509,,68,68,,5,5,"SNA","SJC",342,,,0,,0,,,,,,3,0
1987,10,13,2,1402,1400,1516,1508,"PS",1509,,74,68,,8,2,"SNA","SJC",342,,,0,,0,,,,,,3,0
1987,10,9,5,1430,1430,1545,1533,"PS",1510,,75,63,,12,0,"SFO","BUR",326,,,0,,0,,,,,,0,0
1987,10,6,2,1628,1555,1730,1702,"PS",1511,,62,67,,28,33,"BUR","SFO",326,,,0,,0,,,,,,4,0
1987,10,8,4,916,842,1113,1030,"PS",1517,,117,108,,43,34,"SFO","GEG",733,,,0,,0,,,,,,3,0
1987,10,11,7,806,800,912,907,"PS",1519,,66,67,,5,6,"LAX","SFO",337,,,0,,0,,,,,,2,0
1987,10,23,5,1344,1255,1437,1345,"PS",1524,,53,50,,52,49,"BUR","LAS",223,,,0,,0,,,,,,4,0
1987,10,7,3,1134,1130,1241,1234,"PS",1524,,67,64,,7,4,"SFO","BUR",326,,,0,,0,,,,,,3,0
1987,10,11,7,1832,1830,1939,1931,"PS",1538,,67,61,,8,2,"SFO","BUR",326,,,0,,0,,,,,,4,0
1987,10,1,4,654,653,757,755,"PS",1541,,63,62,,2,1,"BUR","SJC",296,,,0,,0,,,,,,2,0
1987,10,26,1,2100,2100,2214,2208,"PS",1545,,74,68,,6,0,"LAX","SFO",337,,,0,,0,,,,,,3,0
1987,10,15,4,745,745,844,834,"PS",1546,,59,49,,10,0,"BUR","LAS",223,,,0,,0,,,,,,3,0
1987,10,17,6,754,745,844,834,"PS",1546,,50,49,,10,9,"BUR","LAS",223,,,0,,0,,,,,,4,0
1987,10,25,7,2119,2110,2151,2126,"PS",1547,,92,76,,25,9,"TUS","LAX",451,,,0,,0,,,,,,1,0
1987,10,5,1,1019,1020,1119,1116,"PS",1550,,60,56,,3,-1,"SJC","BUR",296,,,0,,0,,,,,,2,0
1987,10,2,5,1144,1145,1251,1250,"PS",1552,,67,65,,1,-1,"SMF","BUR",358,,,0,,0,,,,,,3,0
1987,10,9,5,1144,1145,1252,1250,"PS",1552,,68,65,,2,-1,"SMF","BUR",358,,,0,,0,,,,,,3,0
1987,10,5,1,1300,1300,1418,1416,"PS",1560,,78,76,,2,0,"SMF","SAN",480,,,0,,0,,,,,,3,0
1987,10,9,5,1300,1300,1416,1416,"PS",1560,,76,76,,0,0,"SMF","SAN",480,,,0,,0,,,,,,0,0
1987,10,13,2,1259,1300,1411,1416,"PS",1560,,72,76,,-5,-1,"SMF","SAN",480,,,0,,0,,,,,,1,0
1987,10,9,5,1241,1230,1336,1318,"PS",1561,,55,48,,18,11,"LAS","BUR",223,,,0,,0,,,,,,4,0
1987,10,14,3,1307,1230,1353,1318,"PS",1561,,46,48,,35,37,"LAS","BUR",223,,,0,,0,,,,,,2,0
1987,10,10,6,1946,1946,2037,2034,"PS",1564,,51,48,,3,0,"BUR","LAS",223,,,0,,0,,,,,,2,0
1987,10,9,5,1947,1820,2049,1921,"PS",1564,,62,61,,88,87,"SMF","BUR",358,,,0,,0,,,,,,1,0
1987,10,31,6,1642,1640,1749,1742,"PS",1566,,67,62,,7,2,"SMF","BUR",358,,,0,,0,,,,,,2,0
1987,10,9,5,1610,1610,1656,1658,"PS",1569,,46,48,,-2,0,"LAS","BUR",223,,,0,,0,,,,,,0,0
1987,10,11,7,1854,1855,2017,2011,"PS",1570,,83,76,,6,-1,"SMF","SAN",480,,,0,,0,,,,,,4,0
1987,10,17,6,1856,1855,2009,2011,"PS",1570,,73,76,,-2,1,"SMF","SAN",480,,,0,,0,,,,,,0,0
1987,10,30,5,1853,1853,2013,2007,"PS",1570,,80,74,,6,0,"SMF","SAN",480,,,0,,0,,,,,,2,0
1987,10,15,4,1822,1750,1916,1842,"PS",1571,,54,52,,34,32,"LAS","SAN",258,,,0,,0,,,,,,3,0
1987,10,8,4,1934,1847,2104,2010,"PS",1574,,90,83,,54,47,"EUG","SFO",451,,,0,,0,,,,,,0,0
1987,10,9,5,1914,1847,2045,2010,"PS",1574,,91,83,,35,27,"EUG","SFO",451,,,0,,0,,,,,,0,0
1987,10,5,1,1738,1730,1837,1833,"PS",1575,,59,63,,4,8,"LAX","SFO",337,,,0,,0,,,,,,0,0
1987,10,20,2,2234,2230,22,14,"PS",1578,,108,104,,8,4,"SEA","SFO",679,,,0,,0,,,,,,2,0
1987,10,30,5,119,50,225,152,"PS",1578,,66,62,,33,29,"SFO","LAX",337,,,0,,0,,,,,,2,0
1987,10,26,1,1736,1736,1817,1815,"PS",1580,,41,39,,2,0,"MFR","RDM",156,,,0,,0,,,,,,3,0
1987,10,10,6,1113,1115,1233,1234,"PS",1583,,80,79,,-1,-2,"SAN","SMF",480,,,0,,0,,,,,,4,0
1987,10,1,4,2124,2125,2238,2235,"PS",1587,,74,70,,3,-1,"SAN","SJC",417,,,0,,0,,,,,,3,0
1987,10,28,3,1506,1507,1639,1626,"PS",1588,,93,79,,13,-1,"SMF","SAN",480,,,0,,0,,,,,,0,0
1987,10,10,6,1930,1930,2042,2052,"PS",1591,,72,82,,-10,0,"SAN","SFO",447,,,0,,0,,,,,,2,0
1987,10,4,7,2200,2200,2341,2342,"PS",1591,,101,102,,-1,0,"SFO","SEA",679,,,0,,0,,,,,,0,0
1987,10,27,2,1330,1331,1505,1450,"PS",1592,,95,79,,15,-1,"SMF","SNA",404,,,0,,0,,,,,,2,0
1987,10,2,5,1016,1005,1143,1126,"PS",1593,,87,81,,17,11,"SMF","PDX",479,,,0,,0,,,,,,1,0
1987,10,4,7,1824,1740,1942,1859,"PS",1598,,78,79,,43,44,"SMF","SNA",404,,,0,,0,,,,,,3,0
1987,10,14,3,1614,1555,1742,1713,"PS",1599,,88,78,,29,19,"SNA","SMF",404,,,0,,0,,,,,,2,0
1987,10,23,5,729,726,841,813,"PS",1601,,72,47,,28,3,"LAX","FAT",209,,,0,,0,,,,,,4,0
1987,10,20,2,623,625,701,701,"PS",1601,,38,36,,0,-2,"SAN","LAX",109,,,0,,0,,,,,,1,0
1987,10,1,4,1017,955,1128,1105,"PS",1603,,71,70,,23,22,"SNA","SJC",342,,,0,,0,,,,,,0,0
1987,10,13,2,958,955,1112,1105,"PS",1603,,74,70,,7,3,"SNA","SJC",342,,,0,,0,,,,,,0,0
1987,10,27,2,1930,1930,2047,2040,"PS",1620,,77,70,,7,0,"SJC","SNA",342,,,0,,0,,,,,,2,0
1987,10,11,7,2323,2200,47,2313,"PS",1630,,84,73,,94,83,"LAX","TUS",451,,,0,,0,,,,,,2,0
1987,10,2,5,1745,1745,1858,1855,"PS",1647,,73,70,,3,0,"ONT","SFO",363,,,0,,0,,,,,,1,0
1987,10,19,1,1745,1745,1856,1855,"PS",1647,,71,70,,1,0,"ONT","SFO",363,,,0,,0,,,,,,4,0
1987,10,18,7,1748,1745,1846,1840,"PS",1650,,58,55,,6,3,"SJC","BUR",296,,,0,,0,,,,,,2,0
1987,10,28,3,845,845,946,941,"PS",1652,,61,56,,5,0,"SJC","BUR",296,,,0,,0,,,,,,3,0
1987,10,11,7,1319,1320,1416,1418,"PS",1655,,57,58,,-2,-1,"BUR","SJC",296,,,0,,0,,,,,,2,0
1987,10,31,6,1636,1636,1733,1741,"PS",1665,,57,65,,-8,0,"BUR","SJC",296,,,0,,0,,,,,,1,0
1987,10,25,7,829,830,940,940,"PS",1670,,71,70,,0,-1,"SJC","SAN",417,,,0,,0,,,,,,0,0
1987,10,29,4,651,650,810,804,"PS",1674,,79,74,,6,1,"SJC","SAN",417,,,0,,0,,,,,,3,0
1987,10,1,4,1310,1245,1437,1404,"PS",1676,,87,79,,33,25,"SFO","LAS",414,,,0,,0,,,,,,1,0
1987,10,10,6,1644,1645,1800,1801,"PS",1678,,76,76,,-1,-1,"SFO","SAN",447,,,0,,0,,,,,,0,0
1987,10,28,3,2040,1945,2245,2108,"PS",1679,,125,83,,97,55,"LAS","SFO",414,,,0,,0,,,,,,2,0
1987,10,12,1,1519,1510,1631,1619,"PS",1682,,72,69,,12,9,"SJC","SAN",417,,,0,,0,,,,,,0,0
1987,10,20,2,1509,1510,1632,1619,"PS",1682,,83,69,,13,-1,"SJC","SAN",417,,,0,,0,,,,,,2,0
1987,10,22,4,1830,1815,2003,1928,"PS",1685,,93,73,,35,15,"SAN","SJC",417,,,0,,0,,,,,,3,0
1987,10,26,1,1814,1815,1929,1928,"PS",1685,,75,73,,1,-1,"SAN","SJC",417,,,0,,0,,,,,,3,0
1987,10,8,4,1857,1853,2016,2004,"PS",1686,,79,71,,12,4,"SJC","SAN",417,,,0,,0,,,,,,0,0
1987,10,22,4,1946,1853,2110,2004,"PS",1686,,84,71,,66,53,"SJC","SAN",417,,,0,,0,,,,,,1,0
1987,10,12,1,1717,1700,1840,1818,"PS",1687,,83,78,,22,17,"SNA","SFO",372,,,0,,0,,,,,,2,0
1987,10,18,7,1121,1112,1244,1229,"PS",1689,,83,77,,15,9,"LAS","SFO",414,,,0,,0,,,,,,4,0
1987,10,8,4,1824,1810,2034,2002,"PS",1690,,130,112,,32,14,"SEA","SFO",679,,,0,,0,,,,,,2,0
1987,10,18,7,2102,2045,2224,2201,"PS",1690,,82,76,,23,17,"SFO","SAN",447,,,0,,0,,,,,,1,0
1987,10,3,6,812,812,907,852,"PS",1702,,55,40,,15,0,"LAX","SAN",109,,,0,,0,,,,,,4,0
1987,10,6,2,629,630,753,742,"PS",1702,,84,72,,11,-1,"SMF","LAX",373,,,0,,0,,,,,,2,0
1987,10,20,2,630,630,748,742,"PS",1702,,78,72,,6,0,"SMF","LAX",373,,,0,,0,,,,,,1,0
1987,10,19,1,1053,1050,1141,1135,"PS",1703,,48,45,,6,3,"LAX","FAT",209,,,0,,0,,,,,,2,0
1987,10,15,4,1522,1515,1644,1624,"PS",1704,,82,69,,20,7,"SMF","LAX",373,,,0,,0,,,,,,0,0
1987,10,5,1,854,855,954,1002,"PS",1707,,60,67,,-8,-1,"BUR","SFO",326,,,0,,0,,,,,,1,0
1987,10,27,2,900,900,1037,1011,"PS",1708,,97,71,,26,0,"SFO","LAX",337,,,0,,0,,,,,,3,0
1987,10,11,7,1055,1030,1210,1122,"PS",1709,,75,52,,48,25,"LAS","LAX",236,,,0,,0,,,,,,4,0
1987,10,11,7,1300,1250,1548,1530,"PS",1712,,108,100,,18,10,"LAX","ABQ",677,,,0,,0,,,,,,2,0
